Flow_ID,Agent_Prediction,Ground_Truth,Match,Anomaly_Score,Threshold_Exceeded,Attack_Category,Classification
61,1,0,INCORRECT,0.00012764,True,Normal,Classified as SUSPICIOUS
62,1,0,INCORRECT,0.00013473,True,Normal,Classified as SUSPICIOUS
63,1,0,INCORRECT,0.00012670,True,Normal,Classified as SUSPICIOUS
64,1,0,INCORRECT,0.00012078,True,Normal,Classified as SUSPICIOUS
65,0,0,CORRECT,0.00006731,False,Normal,N/A
66,1,0,INCORRECT,0.00007042,True,Normal,Classified as SUSPICIOUS
67,1,0,INCORRECT,0.00007071,True,Normal,Classified as SUSPICIOUS
68,1,0,INCORRECT,0.00009929,True,Normal,Classified as SUSPICIOUS
69,0,0,CORRECT,0.00002339,False,Normal,N/A
70,1,0,INCORRECT,0.00019818,True,Normal,Classified as ZERO-DAY
71,1,0,INCORRECT,0.00020774,True,Normal,Classified as SUSPICIOUS
72,1,0,INCORRECT,0.00019818,True,Normal,N/A
73,0,0,CORRECT,0.00002616,False,Normal,N/A
74,1,0,INCORRECT,0.00013179,True,Normal,N/A
75,1,0,INCORRECT,0.00012653,True,Normal,Classified as SUSPICIOUS
76,1,0,INCORRECT,0.00010598,True,Normal,N/A
77,1,0,INCORRECT,0.00226710,True,Normal,N/A
78,1,0,INCORRECT,0.00013729,True,Normal,N/A
79,1,0,INCORRECT,0.00042329,True,Normal,N/A
80,1,0,INCORRECT,0.00068253,True,Normal,N/A
81,1,0,INCORRECT,0.00013506,True,Normal,N/A
82,1,0,INCORRECT,0.00013491,True,Normal,N/A
83,1,0,INCORRECT,0.00011921,True,Normal,N/A
